location,date,peak_demand,min_demand,avg_demand,avg_temp,avg_wind,avg_solar
"Minneapolis, Minnesota, USA",2017-12-01,39602.874,26747.3298,33408.665133333336,1.5098333529166668,10.155089466666666,55.875
"Minneapolis, Minnesota, USA",2017-12-02,32494.219,26372.616,29746.720233333337,1.0223333566666666,8.993281733333333,77.875
"Minneapolis, Minnesota, USA",2017-12-03,31329.542,26453.716,28993.573458333336,1.5494166724999998,9.776711841666666,51.875
"Minneapolis, Minnesota, USA",2017-12-04,40819.543,26342.647,33892.04125,9.286916374999999,12.253157666666667,23.125
"Minneapolis, Minnesota, USA",2017-12-05,39893.447,26831.809,33762.39345833333,-4.269333325,24.570332333333337,53.958333333333336
"Minneapolis, Minnesota, USA",2017-12-06,40468.679,26943.073,34174.66141666666,-7.979750166666666,17.679854208333335,56.375
"Minneapolis, Minnesota, USA",2017-12-07,40668.558,27513.863,34512.86816666667,-10.011000333333334,12.884997104166667,83.16666666666667
"Minneapolis, Minnesota, USA",2017-12-08,39733.97,27340.783,33799.91445833333,-5.808916829166667,10.5839081875,52.541666666666664
"Minneapolis, Minnesota, USA",2017-12-09,32305.182,27144.282,29998.251125,-5.283916708333334,14.322807829166665,78.625
"Minneapolis, Minnesota, USA",2017-12-10,32094.538,27069.256,29724.276916666666,-4.6297499958333335,9.628051254166666,65.5
"Minneapolis, Minnesota, USA",2017-12-11,40519.816,27255.799,34074.40141666667,-2.6026666625,11.265811995833333,47.916666666666664
"Minneapolis, Minnesota, USA",2017-12-12,40466.654,27123.722,34203.120125,-10.231833625,11.2557286625,48.375
"Minneapolis, Minnesota, USA",2017-12-13,40794.85,27303.97,34323.98133333334,-3.1401666625,13.335130108333333,36.125
"Minneapolis, Minnesota, USA",2017-12-14,40038.943,27525.32,34105.27525,-8.238083625,8.6486309,48.541666666666664
"Minneapolis, Minnesota, USA",2017-12-15,39340.64,27265.077,33452.948125,-6.542250025,7.353972304166667,59.583333333333336
"Minneapolis, Minnesota, USA",2017-12-16,32508.267,26843.805,29901.573041666667,-3.2484999958333334,8.026278704166666,69.08333333333333
"Minneapolis, Minnesota, USA",2017-12-17,31746.885,26746.675,29312.437,-5.958916745833334,5.695421866666667,43.416666666666664
"Minneapolis, Minnesota, USA",2017-12-18,39400.253,27026.97,33587.79179166667,-2.975583325,9.210857766666667,59.458333333333336
"Minneapolis, Minnesota, USA",2017-12-19,39008.584,27133.844,33434.838875,0.34941665833333335,13.320916979166666,81.20833333333333
"Minneapolis, Minnesota, USA",2017-12-20,38916.878,27256.317,33271.73658333333,-8.681833625,9.672595966666668,27.333333333333332
"Minneapolis, Minnesota, USA",2017-12-21,37968.431,27119.594,32764.840041666666,-7.473500291666667,8.983220654166667,46.041666666666664
"Minneapolis, Minnesota, USA",2017-12-22,35976.59,26920.081,31381.110791666666,-8.715166875,7.8567130875,74.29166666666667
"Minneapolis, Minnesota, USA",2017-12-23,29753.724,26211.987,28008.214500000002,-10.186000166666666,11.125794408333334,83.125
"Minneapolis, Minnesota, USA",2017-12-24,28653.267,25987.853,27453.428791666665,-11.490167,13.003903600000001,67.41666666666667
"Minneapolis, Minnesota, USA",2017-12-25,29733.915,26167.633,28213.184958333335,-16.861000208333333,13.6817624375,79.875
"Minneapolis, Minnesota, USA",2017-12-26,31293.346,26963.231,29557.24666666667,-22.24850029166667,10.886506054166667,83.70833333333333
"Minneapolis, Minnesota, USA",2017-12-27,36208.2,27397.554,32005.961750000002,-20.296416833333332,7.322483379166666,84.91666666666667
"Minneapolis, Minnesota, USA",2017-12-28,36260.79,27574.23,32095.045000000002,-15.208917125,10.306340254166667,45.583333333333336
"Minneapolis, Minnesota, USA",2017-12-29,36341.485,27479.584,32128.398875,-17.325583666666667,8.799855975,45.083333333333336
"Minneapolis, Minnesota, USA",2017-12-30,31899.475,27895.945,30016.128125,-22.754750208333334,13.152920520833334,88.70833333333333
"Minneapolis, Minnesota, USA",2017-12-31,31000.226,27939.986,29495.067541666667,-25.69225025,9.717584591666666,89.83333333333333
"Oakland, California, USA",2016-01-08,17312.2087,11919.5353,14730.583658333335,6.707333333333334,4.690225270833333,84.20833333333333
"Oakland, California, USA",2016-01-09,14295.5987,11985.896,12974.745833333334,8.915666666666667,7.895286570833334,49.875
"Oakland, California, USA",2016-01-10,14384.4743,11865.7616,13270.449529166666,8.2615,6.236400166666667,84.625
"Oakland, California, USA",2016-01-11,17581.4593,12351.8522,14840.2258375,9.446916666666667,6.185053791666667,49.083333333333336
"Oakland, California, USA",2016-01-12,17661.6884,12149.5427,14940.59365,9.903166666666666,5.8412549,105.41666666666667
"Oakland, California, USA",2016-01-13,17724.4904,12630.6436,15071.5880375,12.211500000000001,16.953660375000002,96.625
"Oakland, California, USA",2016-01-14,17844.7072,12419.3556,15170.881691666667,8.3365,7.443442083333333,64.70833333333333
"Oakland, California, USA",2016-01-15,17733.5829,12335.4422,15053.518270833332,10.599,9.974118891666667,103.08333333333333
"Oakland, California, USA",2016-01-16,15211.7307,12483.9105,13835.656629166668,11.555250000000001,8.1077051125,51.666666666666664
"Oakland, California, USA",2016-01-17,15068.5049,13061.4132,13991.871420833333,12.928166666666668,10.489541195833333,24.833333333333332
"Oakland, California, USA",2016-01-18,16128.6578,12519.9604,14642.619400000001,12.521916666666668,10.2859652625,83.16666666666667
"Oakland, California, USA",2016-01-19,19064.3999,13029.9052,15934.623020833335,12.465666666666666,14.185123995833335,71.75
"Oakland, California, USA",2016-01-20,18708.4125,12660.2159,15711.911316666667,10.863583333333333,4.721398695833334,104.625
"Oakland, California, USA",2016-01-21,19429.1177,12319.3725,16023.3368125,10.646916666666668,5.560497520833334,100.5
"Oakland, California, USA",2016-01-22,18832.686,12932.7728,15927.519283333333,13.453166666666666,12.200200225000001,41.791666666666664
"Oakland, California, USA",2016-01-23,14671.4224,12435.1721,13374.727954166667,12.005249999999998,18.000431875,84.45833333333333
"Oakland, California, USA",2016-01-24,15123.831,12160.8155,13601.427637499999,9.4865,9.514768179166667,114.95833333333333
"Oakland, California, USA",2016-01-25,18744.0804,12346.993,15602.4152875,10.319833333333333,5.144120433333334,105.625
"Oakland, California, USA",2016-01-26,18927.4134,12707.7656,15866.3213875,9.871916666666666,5.347112216666667,109.66666666666667
"Oakland, California, USA",2016-01-27,19771.6197,12399.9243,16114.064420833332,9.64275,6.8391097125,139.25
"Oakland, California, USA",2016-01-28,19322.1779,12898.3993,16119.631945833333,10.0615,3.860155883333333,91.95833333333333
"Oakland, California, USA",2016-01-29,19162.8328,12791.7737,16184.314333333334,13.219833333333334,9.626006825,39.708333333333336
"Oakland, California, USA",2016-01-30,15699.712,12536.0673,14090.186583333334,11.071916666666667,10.547782845833334,85.95833333333333
"Oakland, California, USA",2016-01-31,15536.2707,12779.2457,14010.159025,9.319833333333333,9.7870136375,133.08333333333334
"Oakland, California, USA",2016-02-01,18817.5052,12532.0714,15716.517537499998,7.63025,18.38823897916667,160.0
"Oakland, California, USA",2016-02-02,18765.1616,12210.4938,15736.240254166667,7.740666666666667,8.070273045833334,101.33333333333333
"Oakland, California, USA",2016-02-03,18603.4553,12512.3583,15691.131,5.6114999999999995,6.438170629166667,112.95833333333333
"Oakland, California, USA",2016-02-04,18881.5739,12618.7846,15875.7532625,8.721916666666667,6.475604133333333,143.08333333333334
"Oakland, California, USA",2016-02-05,19429.4972,12260.8362,15838.498391666668,8.71775,6.791621295833333,154.125
"Oakland, California, USA",2016-02-06,16805.1939,12210.4165,14489.782262499999,9.486500041666666,6.772558158333333,158.75
"Oakland, California, USA",2016-02-07,16815.7064,12359.4501,14559.997791666667,12.551083333333333,6.745093762500001,165.04166666666666
"Oakland, California, USA",2016-02-08,19714.4529,13702.369299999998,16864.758145833333,14.005250124999998,8.363843183333334,168.25
"Oakland, California, USA",2016-02-09,20678.2846,13255.6949,16956.613804166667,13.049000208333332,7.623875375,168.5
"Oakland, California, USA",2016-02-10,20644.8624,13173.3938,16757.16637916667,12.717750375,4.322745766666666,151.91666666666666
"Oakland, California, USA",2016-02-11,20081.3229,13252.2415,16654.225791666668,13.280250125,4.654421970833334,140.375
"Oakland, California, USA",2016-02-12,19881.9618,12908.4044,16453.47532083333,12.755250083333332,5.2417401625,130.08333333333334
"Oakland, California, USA",2016-02-13,17253.1994,12941.2406,14819.109954166668,13.278166749999999,5.664267779166667,159.95833333333334
"Oakland, California, USA",2016-02-14,17437.2372,12640.3329,15021.697591666665,14.040666833333333,8.153024254166667,164.75
"Oakland, California, USA",2016-02-15,17863.0202,13824.5581,15723.751916666666,17.134416875,8.753517441666666,179.875
"Oakland, California, USA",2016-02-16,20146.5315,13503.7072,17101.651254166667,15.665666916666666,6.197138091666666,178.66666666666666
"Oakland, California, USA",2016-02-17,20272.9931,13654.578,16969.0251125,15.486500375,13.400054712500001,133.29166666666666
"Oakland, California, USA",2016-02-18,19237.4066,12327.4881,15854.474433333335,11.371916666666666,19.361684208333333,135.625
"Oakland, California, USA",2016-02-19,18944.4893,12846.2592,15624.815208333333,10.690666666666667,11.999202125000002,88.83333333333333
"Oakland, California, USA",2016-02-20,16108.2362,12580.6267,14020.410833333333,9.428166666666668,5.732913687500001,147.79166666666666
"Oakland, California, USA",2016-02-21,16342.9698,12238.0226,14018.690108333334,10.249,5.304375286666667,194.83333333333334
"Oakland, California, USA",2016-02-22,20527.4557,12663.9194,16430.3827,11.805250041666667,5.5164061875,194.33333333333334
"Oakland, California, USA",2016-02-23,19996.7297,12735.1232,16311.935945833335,13.055250083333334,5.467885654166667,196.83333333333334
"Oakland, California, USA",2016-02-24,20161.0622,12311.5375,16236.403112499998,13.042750083333333,5.019241691666667,193.91666666666666
"Oakland, California, USA",2016-02-25,19990.8854,12437.1794,16559.132970833332,14.044833500000001,3.8215905958333334,189.45833333333334
"Oakland, California, USA",2016-02-26,19053.9996,12658.8549,15917.807391666667,13.419833375000001,5.793705654166666,176.79166666666666
"Oakland, California, USA",2016-02-27,16706.7807,12817.5947,14580.426179166667,13.41566675,6.079043133333333,194.41666666666666
"Oakland, California, USA",2016-02-28,16291.3967,12510.975,14285.345362499998,12.30316675,6.404163920833334,161.66666666666666
"Oakland, California, USA",2016-02-29,20877.3841,12662.2674,16519.696383333332,12.746916791666665,5.265872112499999,188.08333333333334
"Oakland, California, USA",2016-03-01,20021.5314,13158.0982,16462.18059583333,14.634416916666666,5.448366064583333,202.75
"Oakland, California, USA",2016-03-02,19087.9897,12820.1566,16083.046570833334,13.226083333333333,5.709615516666666,186.375
